ante_parent_cat,cons_parent_cat,co_count,ante_count,cons_count,support,confidence,lift,leverage
Đồ Dùng Phòng Tắm,Chăm Sóc Tóc,226,329,1449,0.051015801354401806,0.6869300911854104,2.1001382359912824,0.02672416165177912
Chăm Sóc Tóc,Đồ Dùng Phòng Tắm,226,1449,329,0.051015801354401806,0.1559696342305038,2.1001382359912824,0.02672416165177912
Rau Củ,Bánh Tươi,12,89,287,0.002708803611738149,0.1348314606741573,2.0811964138903027,0.001407242839453959
Làm Sạch Cơ Thể,Chăm Sóc Cơ Thể,392,1189,702,0.08848758465011286,0.3296888141295206,2.0805148811877157,0.045956004871362394
Chăm Sóc Cơ Thể,Làm Sạch Cơ Thể,392,702,1189,0.08848758465011286,0.5584045584045584,2.080514881187715,0.045956004871362394
"Gạo, Bột, Đậu",Bữa Sáng,34,256,283,0.007674943566591422,0.1328125,2.0790083922261484,0.003983306921309153
Bữa Sáng,"Gạo, Bột, Đậu",34,283,256,0.007674943566591422,0.12014134275618374,2.0790083922261484,0.003983306921309153
Sữa,Trà,12,83,311,0.002708803611738149,0.14457831325301204,2.059427420292101,0.0013934848075658984
"Muối, Đường","Hạt, Trái Cây Sấy",26,101,554,0.005869074492099322,0.25742574257425743,2.058476605783322,0.003017900728156576
Thực Phẩm Đóng Hộp,Thực Phẩm Bổ Sung,19,160,256,0.004288939051918736,0.11875,2.054931640625,0.0022017946588262873
Rau Củ,"Rong Biển, Bánh Tráng",13,89,315,0.002934537246049661,0.14606741573033707,2.0542179418583912,0.0015059949350060382
Thủy Sản Tươi Sống,"Chả Giò, Cá Viên",9,71,274,0.0020316027088036117,0.1267605633802817,2.049449984579007,0.0010403110334320175
"Bánh Bao, Bánh Giò, Há Cảo",Thực Phẩm Bổ Sung,18,152,256,0.004063205417607223,0.11842105263157894,2.049239309210526,0.002080418244169397
"Xúc Xích, Lạp Xưởng, Thịt Nguội","Hạt, Trái Cây Sấy",37,145,554,0.008352144469525959,0.25517241379310346,2.0404581102950328,0.00425887520445964
Trái Cây,"Mì, Bún, Topokki Ăn Liền",112,133,1832,0.02528216704288939,0.8421052631578947,2.0363134911514593,0.012866511421714253
Bánh Tươi,Trà,41,287,311,0.00925507900677201,0.14285714285714285,2.034910427193385,0.004706928442947481
Trà,Bánh Tươi,41,311,287,0.00925507900677201,0.13183279742765272,2.034910427193385,0.004706928442947481
"Pizza, Cơm, Lẩu","Hạt, Trái Cây Sấy",18,71,554,0.004063205417607223,0.2535211267605634,2.0272537753597395,0.002058914949885095
Rau Củ,"Sốt, Gia Vị Các Loại",12,89,295,0.002708803611738149,0.1348314606741573,2.024757189106837,0.0013709623998084067
Đồ Dùng Phòng Tắm,Vệ Sinh,91,329,607,0.02054176072234763,0.2765957446808511,2.0186476918223564,0.010365759825527773
Vệ Sinh,Đồ Dùng Phòng Tắm,91,607,329,0.02054176072234763,0.14991762767710048,2.018647691822356,0.010365759825527773
"Tương Ớt, Tương Cà, Tương Đen","Trà, Cà Phê Đóng Chai",55,354,342,0.012415349887133182,0.1553672316384181,2.0125053688836028,0.00624624838852682
"Trà, Cà Phê Đóng Chai","Tương Ớt, Tương Cà, Tương Đen",55,342,354,0.012415349887133182,0.1608187134502924,2.0125053688836023,0.00624624838852682
Trái Cây,"Rong Biển, Bánh Tráng",19,133,315,0.004288939051918736,0.14285714285714285,2.0090702947845807,0.0021541511039546704
Nấm,Đồ Uống,9,13,1531,0.0020316027088036117,0.6923076923076923,2.0032155956388484,0.0010174319359589094
Rượu,"Mì, Bún, Topokki Ăn Liền",290,351,1832,0.0654627539503386,0.8262108262108262,1.997878799188843,0.03269662520573353
"Mì, Bún, Topokki Ăn Liền",Rượu,290,1832,351,0.0654627539503386,0.15829694323144106,1.997878799188843,0.03269662520573353
Món Ăn Nhanh,"Gạo, Bột, Đậu",18,156,256,0.004063205417607223,0.11538461538461539,1.9966947115384617,0.002028239634342086
"Nước Mắm, Nước Tương",Bánh Kẹo,15,29,1149,0.003386004514672686,0.5172413793103449,1.9942378680111643,0.0016881105126650329
Khô Chế Biến Sẵn,"Gạo, Bột, Đậu",22,191,256,0.004966139954853273,0.11518324607329843,1.9932100785340314,0.0024746113355991624
Sữa Bột,Bánh Tươi,8,62,287,0.0018058690744920992,0.12903225806451613,1.9916825896369563,0.0008991638173952478
Sữa,"Sốt, Gia Vị Các Loại",11,83,295,0.0024830699774266367,0.13253012048192772,1.9901980804574233,0.0012354203078741805
Chăm Sóc Bé,"Chả Giò, Cá Viên",8,65,274,0.0018058690744920992,0.12307692307692308,1.9898933183604717,0.000898348526616696
"Pizza, Cơm, Lẩu",Bữa Sáng,9,71,283,0.0020316027088036117,0.1267605633802817,1.9842731299457521,0.0010077503579636073
Thủy sản,Làm Sạch Cơ Thể,75,141,1189,0.016930022573363433,0.5319148936170213,1.981819157883435,0.008387354840024662
Điện Gia Dụng,Bánh Các Loại,11,24,1025,0.0024830699774266367,0.4583333333333333,1.9808943089430893,0.0012295604054033398
Thủy Sản Tươi Sống,"Rong Biển, Bánh Tráng",10,71,315,0.002257336343115124,0.14084507042253522,1.9807735300693048,0.001117712701720773
Dụng Cụ Văn Phòng,Rượu,10,64,351,0.002257336343115124,0.15625,1.9720441595441593,0.001112668090028484
Khô Chế Biến Sẵn,"Trà, Cà Phê Đóng Chai",29,191,342,0.00654627539503386,0.1518324607329843,1.966718716512048,0.003217748880249071
Khô Chế Biến Sẵn,"Tương Ớt, Tương Cà, Tương Đen",30,191,354,0.006772009029345372,0.15706806282722513,1.9655692608039754,0.003326692110533047
Thủy Sản Tươi Sống,Bánh Tươi,9,71,287,0.0020316027088036117,0.1267605633802817,1.956617755312362,0.0009932789466443142
Vệ Sinh,Làm Sạch Cơ Thể,318,607,1189,0.07178329571106094,0.5238879736408567,1.9519122987628217,0.03500741405051745
Làm Sạch Cơ Thể,Vệ Sinh,318,1189,607,0.07178329571106094,0.2674516400336417,1.9519122987628217,0.03500741405051745
Thủy Sản Tươi Sống,"Gạo, Bột, Đậu",8,71,256,0.0018058690744920992,0.11267605633802817,1.949823943661972,0.0008796987500573251
Thực Phẩm Đông Lạnh,Bữa Sáng,20,161,283,0.004514672686230248,0.12422360248447205,1.944560279173891,0.0021929793272831956
"Hạt Nêm, Bột Ngọt",Nước Ngọt,10,13,1756,0.002257336343115124,0.7692307692307693,1.940599264061679,0.001094120224816432
"Xúc Xích, Lạp Xưởng, Thịt Nguội","Rong Biển, Bánh Tráng",20,145,315,0.004514672686230248,0.13793103448275862,1.939792008757526,0.002187272291833334
"Pizza, Cơm, Lẩu","Tương Ớt, Tương Cà, Tương Đen",11,71,354,0.0024830699774266367,0.15492957746478872,1.9388079891780057,0.0012023500756691754
Thủy Sản Tươi Sống,"Tương Ớt, Tương Cà, Tương Đen",11,71,354,0.0024830699774266367,0.15492957746478872,1.9388079891780057,0.0012023500756691754
Rau Củ,Bữa Sáng,11,89,283,0.0024830699774266367,0.12359550561797752,1.9347282328185174,0.0011996494249652228
Trái Cây,Trà,18,133,311,0.004063205417607223,0.13533834586466165,1.9278098783937334,0.001955525888030003
Vệ Sinh,Chăm Sóc Tóc,382,607,1449,0.08623024830699774,0.6293245469522241,1.9240219068311613,0.04141254222951455
Chăm Sóc Tóc,Vệ Sinh,382,1449,607,0.08623024830699774,0.2636300897170462,1.924021906831161,0.04141254222951455
Bữa Sáng,Rượu,43,283,351,0.009706546275395033,0.1519434628975265,1.9176909989630837,0.004644966343777547
Rượu,Bữa Sáng,43,351,283,0.009706546275395033,0.1225071225071225,1.9176909989630837,0.004644966343777547
Trà,Cà Phê,56,311,417,0.012641083521444696,0.18006430868167203,1.9129133991841896,0.006032795071567244
Cà Phê,Trà,56,417,311,0.012641083521444696,0.1342925659472422,1.9129133991841896,0.006032795071567244
Thủy sản,Đồ Dùng Phòng Tắm,20,141,329,0.004514672686230248,0.14184397163120568,1.9099355450645628,0.0021508899408404624
"Bơ, Phô Mai","Tương Ớt, Tương Cà, Tương Đen",32,210,354,0.007223476297968397,0.1523809523809524,1.906914178100619,0.0034354315181223845
"Nước Mắm, Nước Tương",Sữa Nước,10,29,802,0.002257336343115124,0.3448275862068966,1.9047209562301144,0.0010722092851428542
"Bơ, Phô Mai","Hạt, Trái Cây Sấy",50,210,554,0.011286681715575621,0.23809523809523808,1.903902355165893,0.005358498642031297
Đồ Dùng Phòng Tắm,Chăm Sóc Cơ Thể,99,329,702,0.02234762979683973,0.3009118541033435,1.8989166861507287,0.010579009319792713
Chăm Sóc Cơ Thể,Đồ Dùng Phòng Tắm,99,702,329,0.02234762979683973,0.14102564102564102,1.8989166861507287,0.010579009319792713
"Gạo, Bột, Đậu","Sữa Chua, Váng Sữa",80,256,730,0.01805869074492099,0.3125,1.8964041095890412,0.008536094451436695
"Sữa Chua, Váng Sữa","Gạo, Bột, Đậu",80,730,256,0.01805869074492099,0.1095890410958904,1.8964041095890412,0.008536094451436695
